email|interest_1|interest_2|interest_3
|Other Service|International|Relief/Emergency Aid
|Helping the Homeless|Other Service|International
|Other Service|Elderly and disabled care|Childcare/Baybsitting
|Helping the Homeless|Helping the Homeless|Helping the Homeless
|Other Service|Relief/Emergency Aid|Relief/Emergency Aid
|Childcare/Baybsitting|Relief/Emergency Aid|Elderly and disabled care
|Helping the Homeless|Elderly and disabled care|Helping the Homeless
|Childcare/Baybsitting|Childcare/Baybsitting|Elderly and disabled care
|Elderly and disabled care|Relief/Emergency Aid|Other Service
|Elderly and disabled care|International|International
|Relief/Emergency Aid|Environmental|Elderly and disabled care
|Elderly and disabled care|Relief/Emergency Aid|Environmental
|Childcare/Baybsitting|International|Other Service
|Helping the Homeless|Elderly and disabled care|Helping the Homeless
|Childcare/Baybsitting|International|Relief/Emergency Aid
|Other Service|International|Environmental
|Environmental|Relief/Emergency Aid|Environmental
|Helping the Homeless|International|Relief/Emergency Aid
|Childcare/Baybsitting|Helping the Homeless|Relief/Emergency Aid
|Childcare/Baybsitting|Elderly and disabled care|Other Service
|Environmental|International|Environmental
|Childcare/Baybsitting|Helping the Homeless|Helping the Homeless
|Other Service|Elderly and disabled care|Relief/Emergency Aid
|Relief/Emergency Aid|Childcare/Baybsitting|Environmental
|Elderly and disabled care|Relief/Emergency Aid|Environmental
|Environmental|Environmental|Other Service
|International|International|Other Service
|Helping the Homeless|Other Service|International
|International|Childcare/Baybsitting|Childcare/Baybsitting
|Elderly and disabled care|International|Elderly and disabled care
|International|International|Helping the Homeless
|Childcare/Baybsitting|Other Service|Helping the Homeless
|Relief/Emergency Aid|Relief/Emergency Aid|Helping the Homeless
|Helping the Homeless|International|Elderly and disabled care
|Relief/Emergency Aid|International|International
|Helping the Homeless|Childcare/Baybsitting|Helping the Homeless
|International|International|Childcare/Baybsitting
|Other Service|Environmental|Childcare/Baybsitting
|Elderly and disabled care|Relief/Emergency Aid|International
|International|Other Service|Elderly and disabled care
|Elderly and disabled care|Helping the Homeless|Environmental
|Environmental|Elderly and disabled care|International
|Childcare/Baybsitting|Elderly and disabled care|Relief/Emergency Aid
|Environmental|Environmental|Childcare/Baybsitting
|Relief/Emergency Aid|Environmental|International
|Elderly and disabled care|Other Service|Childcare/Baybsitting
|Relief/Emergency Aid|Relief/Emergency Aid|Childcare/Baybsitting
|Relief/Emergency Aid|International|Elderly and disabled care
|Other Service|International|International
|Elderly and disabled care|International|Elderly and disabled care
|Environmental|Helping the Homeless|International
|International|Childcare/Baybsitting|Relief/Emergency Aid
|Environmental|Environmental|Childcare/Baybsitting
|Other Service|Elderly and disabled care|Relief/Emergency Aid
|Relief/Emergency Aid|Environmental|Other Service
|Childcare/Baybsitting|International|Environmental
|Other Service|International|International
|Elderly and disabled care|Childcare/Baybsitting|Helping the Homeless
|Other Service|Helping the Homeless|International
|Other Service|Elderly and disabled care|International
|International|Relief/Emergency Aid|Other Service
|Relief/Emergency Aid|Other Service|Relief/Emergency Aid
|International|Other Service|Elderly and disabled care
|Elderly and disabled care|Other Service|Elderly and disabled care
|Elderly and disabled care|Childcare/Baybsitting|Relief/Emergency Aid
|International|Childcare/Baybsitting|Relief/Emergency Aid
|Environmental|Helping the Homeless|Other Service
|Environmental|Environmental|Helping the Homeless
|Environmental|International|Elderly and disabled care
|Relief/Emergency Aid|Childcare/Baybsitting|Childcare/Baybsitting
|Helping the Homeless|Environmental|Environmental
|International|Relief/Emergency Aid|Other Service
|Helping the Homeless|International|Helping the Homeless
|Environmental|Elderly and disabled care|Childcare/Baybsitting
|Elderly and disabled care|Other Service|Environmental
|Environmental|International|Helping the Homeless
|Elderly and disabled care|Elderly and disabled care|Other Service
|Relief/Emergency Aid|Helping the Homeless|Childcare/Baybsitting
|Helping the Homeless|Childcare/Baybsitting|Relief/Emergency Aid
|Other Service|Helping the Homeless|Elderly and disabled care
|Other Service|Environmental|Relief/Emergency Aid
|Elderly and disabled care|International|Environmental
|Helping the Homeless|International|Childcare/Baybsitting
|Elderly and disabled care|Other Service|Relief/Emergency Aid
|Elderly and disabled care|International|Environmental
|Environmental|Other Service|Environmental
|Helping the Homeless|Other Service|Relief/Emergency Aid
|Environmental|Relief/Emergency Aid|Helping the Homeless
|Other Service|Environmental|Other Service
|International|Other Service|Elderly and disabled care
|Environmental|Childcare/Baybsitting|Environmental
|Environmental|International|Relief/Emergency Aid
|Relief/Emergency Aid|Relief/Emergency Aid|Elderly and disabled care
|Elderly and disabled care|Other Service|Helping the Homeless
|Relief/Emergency Aid|Childcare/Baybsitting|International
|Relief/Emergency Aid|International|Helping the Homeless
|Environmental|Relief/Emergency Aid|International
|International|Relief/Emergency Aid|Childcare/Baybsitting
|Helping the Homeless|Other Service|Elderly and disabled care
|Other Service|International|Relief/Emergency Aid
|Other Service|International|International
|Relief/Emergency Aid|International|Environmental
|Helping the Homeless|Relief/Emergency Aid|Other Service
|Other Service|Environmental|Helping the Homeless
|Environmental|Childcare/Baybsitting|Other Service
|Other Service|Elderly and disabled care|Helping the Homeless
|Other Service|International|Helping the Homeless
|Relief/Emergency Aid|Helping the Homeless|Relief/Emergency Aid
|Helping the Homeless|Relief/Emergency Aid|Childcare/Baybsitting
|Environmental|Other Service|Helping the Homeless
|Other Service|Environmental|International
|Relief/Emergency Aid|Other Service|Childcare/Baybsitting
|International|Childcare/Baybsitting|Environmental
|International|Environmental|Environmental
|Other Service|Other Service|Other Service
|International|Relief/Emergency Aid|Other Service
|Relief/Emergency Aid|Elderly and disabled care|International
|Helping the Homeless|International|Childcare/Baybsitting
|International|Elderly and disabled care|Environmental
|Childcare/Baybsitting|Environmental|Elderly and disabled care
|Childcare/Baybsitting|Helping the Homeless|Relief/Emergency Aid
|Other Service|International|Helping the Homeless
|Childcare/Baybsitting|Elderly and disabled care|International
|Relief/Emergency Aid|Helping the Homeless|Elderly and disabled care
|International|Relief/Emergency Aid|International
|Relief/Emergency Aid|Other Service|Environmental
|International|Environmental|Childcare/Baybsitting
|Other Service|Other Service|Childcare/Baybsitting
|Helping the Homeless|Helping the Homeless|Elderly and disabled care
|Elderly and disabled care|Elderly and disabled care|Environmental
|Childcare/Baybsitting|Other Service|Environmental
|Childcare/Baybsitting|International|Other Service
|Other Service|Environmental|Environmental
|Elderly and disabled care|International|Helping the Homeless
|Childcare/Baybsitting|Relief/Emergency Aid|Elderly and disabled care
|International|Other Service|Childcare/Baybsitting
|Other Service|Elderly and disabled care|Other Service
|Other Service|Childcare/Baybsitting|International
|Childcare/Baybsitting|Other Service|Environmental
|Other Service|Childcare/Baybsitting|International
|Relief/Emergency Aid|Environmental|Elderly and disabled care
|Helping the Homeless|Helping the Homeless|International
|Childcare/Baybsitting|Other Service|Childcare/Baybsitting
|International|Other Service|Elderly and disabled care
|Helping the Homeless|Elderly and disabled care|Elderly and disabled care
|Environmental|Childcare/Baybsitting|Environmental
|Childcare/Baybsitting|Relief/Emergency Aid|Elderly and disabled care
|Relief/Emergency Aid|International|Relief/Emergency Aid
|Helping the Homeless|International|Relief/Emergency Aid
|Elderly and disabled care|Environmental|Helping the Homeless
|Relief/Emergency Aid|Elderly and disabled care|Elderly and disabled care
|Relief/Emergency Aid|Environmental|Environmental
|Helping the Homeless|Relief/Emergency Aid|International
|Other Service|Other Service|Other Service
|International|Environmental|Other Service
|Environmental|International|Relief/Emergency Aid
|Elderly and disabled care|Helping the Homeless|Environmental
|International|Elderly and disabled care|International
|Environmental|Relief/Emergency Aid|Other Service
|Childcare/Baybsitting|Elderly and disabled care|Helping the Homeless
|Elderly and disabled care|Environmental|Environmental
|Relief/Emergency Aid|International|Environmental
|Elderly and disabled care|Other Service|Elderly and disabled care
|Relief/Emergency Aid|Other Service|Elderly and disabled care
|Childcare/Baybsitting|Childcare/Baybsitting|International
|Environmental|Other Service|Elderly and disabled care
|International|Other Service|International
|Helping the Homeless|International|Elderly and disabled care
|Elderly and disabled care|Other Service|Elderly and disabled care
|Relief/Emergency Aid|International|Helping the Homeless
|Other Service|Relief/Emergency Aid|Childcare/Baybsitting
|Environmental|Helping the Homeless|Elderly and disabled care
|Elderly and disabled care|Relief/Emergency Aid|Elderly and disabled care
|Childcare/Baybsitting|Helping the Homeless|Relief/Emergency Aid
|Other Service|Other Service|Environmental
|Environmental|Helping the Homeless|Elderly and disabled care
|Helping the Homeless|Other Service|Childcare/Baybsitting
|Environmental|International|Elderly and disabled care
|Environmental|Helping the Homeless|International
|International|International|International
|Environmental|Elderly and disabled care|International
|Elderly and disabled care|Childcare/Baybsitting|Relief/Emergency Aid
|Helping the Homeless|International|Relief/Emergency Aid
|Relief/Emergency Aid|Helping the Homeless|Elderly and disabled care
|Childcare/Baybsitting|Elderly and disabled care|Environmental
|Childcare/Baybsitting|International|Environmental
|Other Service|Helping the Homeless|Childcare/Baybsitting
|Elderly and disabled care|Environmental|Relief/Emergency Aid
|Environmental|Elderly and disabled care|Environmental
|Helping the Homeless|Helping the Homeless|Other Service
|Other Service|Childcare/Baybsitting|Relief/Emergency Aid
|Relief/Emergency Aid|Elderly and disabled care|Relief/Emergency Aid
|Other Service|Helping the Homeless|Helping the Homeless
|Childcare/Baybsitting|Other Service|Helping the Homeless
|Childcare/Baybsitting|Relief/Emergency Aid|Relief/Emergency Aid
|Helping the Homeless|Other Service|Environmental
|Relief/Emergency Aid|Other Service|Helping the Homeless
|Relief/Emergency Aid|Other Service|Elderly and disabled care
|Childcare/Baybsitting|Helping the Homeless|Environmental
|Other Service|International|Elderly and disabled care
|Environmental|International|Other Service
|Relief/Emergency Aid|Environmental|Other Service
|Elderly and disabled care|Childcare/Baybsitting|Childcare/Baybsitting
|Other Service|Other Service|Helping the Homeless
|Other Service|Relief/Emergency Aid|Helping the Homeless
|Environmental|Elderly and disabled care|Childcare/Baybsitting
|Childcare/Baybsitting|International|Helping the Homeless
|Environmental|Relief/Emergency Aid|Relief/Emergency Aid
|Other Service|Elderly and disabled care|International
|Relief/Emergency Aid|International|Other Service
|Elderly and disabled care|Elderly and disabled care|Childcare/Baybsitting
|Helping the Homeless|Other Service|International
|Helping the Homeless|Other Service|Childcare/Baybsitting
|Environmental|Elderly and disabled care|Helping the Homeless
|Other Service|International|Elderly and disabled care
|International|Other Service|Environmental
|International|Relief/Emergency Aid|Helping the Homeless
|Relief/Emergency Aid|Elderly and disabled care|Relief/Emergency Aid
|Environmental|Relief/Emergency Aid|Relief/Emergency Aid
|Environmental|Environmental|Helping the Homeless
|Other Service|Other Service|Elderly and disabled care
|Environmental|Helping the Homeless|Environmental
|Childcare/Baybsitting|Helping the Homeless|Other Service
|Childcare/Baybsitting|Elderly and disabled care|Helping the Homeless
|Other Service|Relief/Emergency Aid|Relief/Emergency Aid
|Environmental|Elderly and disabled care|Environmental
|International|Other Service|Childcare/Baybsitting
|Childcare/Baybsitting|Elderly and disabled care|Elderly and disabled care
|International|International|Environmental
|Other Service|Other Service|Childcare/Baybsitting
|Childcare/Baybsitting|Elderly and disabled care|Relief/Emergency Aid
|International|Helping the Homeless|Other Service
|Other Service|Environmental|Relief/Emergency Aid
|Elderly and disabled care|Childcare/Baybsitting|Relief/Emergency Aid
|Environmental|Helping the Homeless|International
|Childcare/Baybsitting|Elderly and disabled care|Environmental
|Childcare/Baybsitting|Childcare/Baybsitting|Relief/Emergency Aid
|Helping the Homeless|Environmental|Relief/Emergency Aid
|Elderly and disabled care|Relief/Emergency Aid|Childcare/Baybsitting
|Helping the Homeless|Other Service|Other Service
|Relief/Emergency Aid|International|Helping the Homeless
|Other Service|Other Service|Other Service
|Environmental|Helping the Homeless|International
|Helping the Homeless|Childcare/Baybsitting|International
|Other Service|Helping the Homeless|Relief/Emergency Aid
|Helping the Homeless|Environmental|Relief/Emergency Aid
|Other Service|Relief/Emergency Aid|Helping the Homeless
|International|International|Other Service
|Environmental|Environmental|Environmental
|Elderly and disabled care|Environmental|International
|Environmental|Childcare/Baybsitting|Relief/Emergency Aid
|Childcare/Baybsitting|Other Service|Relief/Emergency Aid
|Environmental|Helping the Homeless|Environmental
|International|Relief/Emergency Aid|Helping the Homeless
|Environmental|Environmental|Environmental
|Environmental|Other Service|Other Service
|Helping the Homeless|Helping the Homeless|Childcare/Baybsitting
|Relief/Emergency Aid|Relief/Emergency Aid|Relief/Emergency Aid
|International|Other Service|Childcare/Baybsitting
|International|Relief/Emergency Aid|Helping the Homeless
|Relief/Emergency Aid|Relief/Emergency Aid|Environmental
|Elderly and disabled care|Other Service|Other Service
|Relief/Emergency Aid|Other Service|Environmental
|Other Service|Relief/Emergency Aid|Environmental
|Relief/Emergency Aid|Childcare/Baybsitting|Helping the Homeless
|Environmental|Childcare/Baybsitting|Childcare/Baybsitting
|Helping the Homeless|Relief/Emergency Aid|Helping the Homeless
|Elderly and disabled care|Elderly and disabled care|Environmental
|Childcare/Baybsitting|Elderly and disabled care|Elderly and disabled care
|Elderly and disabled care|Other Service|Environmental
|Environmental|Other Service|Childcare/Baybsitting
|Helping the Homeless|International|Elderly and disabled care
|Environmental|International|Environmental
|Environmental|Helping the Homeless|International
|Childcare/Baybsitting|International|Environmental
|Other Service|Relief/Emergency Aid|Environmental
|Relief/Emergency Aid|Relief/Emergency Aid|Environmental
|Helping the Homeless|Helping the Homeless|International
|Relief/Emergency Aid|Helping the Homeless|Environmental
|Helping the Homeless|Childcare/Baybsitting|International
|International|Elderly and disabled care|International
|Environmental|Childcare/Baybsitting|Elderly and disabled care
|Childcare/Baybsitting|Environmental|Other Service
|Relief/Emergency Aid|International|Elderly and disabled care
|Environmental|Helping the Homeless|International
|International|Helping the Homeless|Childcare/Baybsitting
|Environmental|Helping the Homeless|Elderly and disabled care
|Environmental|Helping the Homeless|International
|Other Service|Environmental|Elderly and disabled care
|Relief/Emergency Aid|International|Elderly and disabled care
|Environmental|Helping the Homeless|Environmental
|Elderly and disabled care|Environmental|Helping the Homeless
|Environmental|Childcare/Baybsitting|Childcare/Baybsitting
|Childcare/Baybsitting|Environmental|Helping the Homeless
|Helping the Homeless|Elderly and disabled care|Elderly and disabled care
|Childcare/Baybsitting|Childcare/Baybsitting|International
|Relief/Emergency Aid|Elderly and disabled care|International
|Elderly and disabled care|Environmental|Environmental
|Childcare/Baybsitting|Childcare/Baybsitting|Environmental
|Helping the Homeless|Helping the Homeless|Elderly and disabled care
|Other Service|Childcare/Baybsitting|Childcare/Baybsitting
|Relief/Emergency Aid|International|Other Service
|Elderly and disabled care|Other Service|Childcare/Baybsitting
|Relief/Emergency Aid|Helping the Homeless|Environmental
|Helping the Homeless|Other Service|Relief/Emergency Aid
|International|Helping the Homeless|Helping the Homeless
|Childcare/Baybsitting|Helping the Homeless|Environmental
|Childcare/Baybsitting|Other Service|International
|Childcare/Baybsitting|Helping the Homeless|Relief/Emergency Aid
|Childcare/Baybsitting|International|Childcare/Baybsitting
|Environmental|Elderly and disabled care|Environmental
|Other Service|International|Helping the Homeless
|Helping the Homeless|International|Environmental
|Helping the Homeless|Other Service|Childcare/Baybsitting
|Relief/Emergency Aid|Helping the Homeless|Childcare/Baybsitting
|Elderly and disabled care|International|Other Service
|Childcare/Baybsitting|Elderly and disabled care|Relief/Emergency Aid
|Environmental|Elderly and disabled care|Relief/Emergency Aid
|Helping the Homeless|Elderly and disabled care|Environmental
|Elderly and disabled care|Relief/Emergency Aid|Helping the Homeless
|Other Service|Other Service|International
|Relief/Emergency Aid|Relief/Emergency Aid|Childcare/Baybsitting
|Elderly and disabled care|International|Helping the Homeless
|Elderly and disabled care|Environmental|Environmental
|Helping the Homeless|Elderly and disabled care|International
|Childcare/Baybsitting|Relief/Emergency Aid|Childcare/Baybsitting
|Other Service|Helping the Homeless|Environmental
|Childcare/Baybsitting|Relief/Emergency Aid|Other Service
|Environmental|Helping the Homeless|Relief/Emergency Aid
|Environmental|Helping the Homeless|Childcare/Baybsitting
|International|Relief/Emergency Aid|Environmental
|Childcare/Baybsitting|Other Service|Relief/Emergency Aid
|Helping the Homeless|Helping the Homeless|International
|Relief/Emergency Aid|Environmental|Childcare/Baybsitting
|Other Service|Relief/Emergency Aid|Other Service
|Elderly and disabled care|Elderly and disabled care|Helping the Homeless
|Helping the Homeless|Helping the Homeless|Other Service
|Other Service|International|Childcare/Baybsitting
|Environmental|Other Service|International
|Other Service|Helping the Homeless|Other Service
|Childcare/Baybsitting|Helping the Homeless|Other Service
|Relief/Emergency Aid|Environmental|International
|Helping the Homeless|International|Environmental
|Environmental|Relief/Emergency Aid|Elderly and disabled care
|Elderly and disabled care|Childcare/Baybsitting|Environmental
|Other Service|Other Service|Other Service
|Relief/Emergency Aid|Childcare/Baybsitting|Elderly and disabled care
|Elderly and disabled care|Helping the Homeless|Helping the Homeless
|Helping the Homeless|Childcare/Baybsitting|Helping the Homeless
|Helping the Homeless|Helping the Homeless|Childcare/Baybsitting
|International|Environmental|Other Service
|Elderly and disabled care|Elderly and disabled care|International
|Other Service|International|Elderly and disabled care
|Other Service|Other Service|Childcare/Baybsitting
|Environmental|Helping the Homeless|Environmental
|Relief/Emergency Aid|Relief/Emergency Aid|International
|Childcare/Baybsitting|Elderly and disabled care|Other Service
|Relief/Emergency Aid|Childcare/Baybsitting|Childcare/Baybsitting
|Childcare/Baybsitting|Other Service|Relief/Emergency Aid
|Childcare/Baybsitting|Other Service|Helping the Homeless
|Elderly and disabled care|Relief/Emergency Aid|Childcare/Baybsitting
|Helping the Homeless|Helping the Homeless|Childcare/Baybsitting
|Childcare/Baybsitting|Childcare/Baybsitting|Childcare/Baybsitting
|Childcare/Baybsitting|Environmental|Environmental
|Other Service|Childcare/Baybsitting|Environmental
|International|Environmental|Elderly and disabled care
|Childcare/Baybsitting|Other Service|International
|Helping the Homeless|Relief/Emergency Aid|Other Service
|Relief/Emergency Aid|Environmental|International
|International|Helping the Homeless|Other Service
|Environmental|Childcare/Baybsitting|International
|International|Relief/Emergency Aid|Other Service
|Childcare/Baybsitting|Other Service|Other Service
|Other Service|Helping the Homeless|International
|Relief/Emergency Aid|Elderly and disabled care|Elderly and disabled care
|Elderly and disabled care|Helping the Homeless|Environmental
|Relief/Emergency Aid|Environmental|International
|Helping the Homeless|Other Service|Relief/Emergency Aid
|Helping the Homeless|Childcare/Baybsitting|Other Service
|Elderly and disabled care|Environmental|International
|Relief/Emergency Aid|International|International
|Environmental|International|Relief/Emergency Aid
|Childcare/Baybsitting|Other Service|Relief/Emergency Aid
|Other Service|Childcare/Baybsitting|Other Service
|Childcare/Baybsitting|Other Service|International
|Relief/Emergency Aid|Helping the Homeless|Helping the Homeless
|Childcare/Baybsitting|Childcare/Baybsitting|Environmental
|Childcare/Baybsitting|Environmental|Other Service
|International|Childcare/Baybsitting|Elderly and disabled care
|International|Environmental|Other Service
|Helping the Homeless|Childcare/Baybsitting|Environmental
|Helping the Homeless|Elderly and disabled care|Environmental
|Elderly and disabled care|Elderly and disabled care|Relief/Emergency Aid
|Environmental|Other Service|Other Service
|Environmental|Childcare/Baybsitting|Elderly and disabled care
|International|Childcare/Baybsitting|Helping the Homeless
|Other Service|Childcare/Baybsitting|Environmental
|Childcare/Baybsitting|Helping the Homeless|Elderly and disabled care
|Childcare/Baybsitting|Helping the Homeless|Childcare/Baybsitting
|Environmental|Childcare/Baybsitting|Other Service
|Elderly and disabled care|Elderly and disabled care|International
|Childcare/Baybsitting|Elderly and disabled care|Elderly and disabled care
|Elderly and disabled care|Childcare/Baybsitting|Elderly and disabled care
|Helping the Homeless|Other Service|Helping the Homeless
|Environmental|International|Elderly and disabled care
|Relief/Emergency Aid|Childcare/Baybsitting|International
|Relief/Emergency Aid|Other Service|Other Service
|International|Relief/Emergency Aid|Other Service
|Other Service|Environmental|Other Service
|Relief/Emergency Aid|Other Service|Environmental
|Relief/Emergency Aid|Environmental|International
|Helping the Homeless|Other Service|Relief/Emergency Aid
|Environmental|Other Service|Childcare/Baybsitting
|Other Service|International|Helping the Homeless
|Environmental|Relief/Emergency Aid|Other Service
|Elderly and disabled care|Relief/Emergency Aid|Environmental
|Elderly and disabled care|Elderly and disabled care|Childcare/Baybsitting
|Other Service|Other Service|Childcare/Baybsitting
|International|Relief/Emergency Aid|Environmental
|Elderly and disabled care|International|International
|Environmental|International|Other Service
|International|Helping the Homeless|International
|Helping the Homeless|Environmental|Childcare/Baybsitting
|Other Service|Environmental|Helping the Homeless
|Elderly and disabled care|Other Service|Environmental
|Other Service|Relief/Emergency Aid|Elderly and disabled care
|International|Other Service|Childcare/Baybsitting
|Elderly and disabled care|Childcare/Baybsitting|Elderly and disabled care
|Other Service|Helping the Homeless|Environmental
|International|Environmental|International
|Relief/Emergency Aid|Relief/Emergency Aid|Elderly and disabled care
|International|Childcare/Baybsitting|Childcare/Baybsitting
|Relief/Emergency Aid|Childcare/Baybsitting|Environmental
|Childcare/Baybsitting|Elderly and disabled care|Childcare/Baybsitting
|Other Service|International|International
|Elderly and disabled care|Other Service|Other Service
|Environmental|International|Elderly and disabled care
|International|Helping the Homeless|Childcare/Baybsitting
|Environmental|Elderly and disabled care|Childcare/Baybsitting
|Childcare/Baybsitting|Elderly and disabled care|Environmental
|Relief/Emergency Aid|Relief/Emergency Aid|International
|Other Service|Environmental|Other Service
|Elderly and disabled care|Elderly and disabled care|Elderly and disabled care
|Environmental|International|International
|Elderly and disabled care|Environmental|International
|Childcare/Baybsitting|Relief/Emergency Aid|Childcare/Baybsitting
|Other Service|Environmental|Other Service
|Other Service|Helping the Homeless|Environmental
|Childcare/Baybsitting|Helping the Homeless|Helping the Homeless
|Childcare/Baybsitting|International|Environmental
|Other Service|Childcare/Baybsitting|International
|Relief/Emergency Aid|International|International
|Helping the Homeless|Other Service|Childcare/Baybsitting
|Relief/Emergency Aid|Relief/Emergency Aid|Other Service
|Other Service|Environmental|Helping the Homeless
|Environmental|Elderly and disabled care|Elderly and disabled care
|International|Childcare/Baybsitting|Other Service
|International|Elderly and disabled care|Childcare/Baybsitting
|Elderly and disabled care|Helping the Homeless|International
|Environmental|Other Service|Relief/Emergency Aid
|Helping the Homeless|Childcare/Baybsitting|Relief/Emergency Aid
|Elderly and disabled care|Other Service|Childcare/Baybsitting
|Helping the Homeless|International|International
|Childcare/Baybsitting|Other Service|Helping the Homeless
|Childcare/Baybsitting|Relief/Emergency Aid|Environmental
|Relief/Emergency Aid|Helping the Homeless|Childcare/Baybsitting
|Environmental|Relief/Emergency Aid|International
|Elderly and disabled care|Helping the Homeless|Other Service
|Other Service|Other Service|Other Service
|Environmental|Other Service|Environmental
|Other Service|Other Service|Environmental
|Elderly and disabled care|Relief/Emergency Aid|Childcare/Baybsitting
|Other Service|Helping the Homeless|Childcare/Baybsitting
|Childcare/Baybsitting|Other Service|Helping the Homeless
|Childcare/Baybsitting|Elderly and disabled care|Relief/Emergency Aid
|Childcare/Baybsitting|Helping the Homeless|Other Service
|International|Environmental|Helping the Homeless
|Helping the Homeless|Relief/Emergency Aid|Environmental
|Childcare/Baybsitting|Relief/Emergency Aid|Relief/Emergency Aid
|Childcare/Baybsitting|International|Helping the Homeless
|Helping the Homeless|Other Service|Elderly and disabled care
|Childcare/Baybsitting|Childcare/Baybsitting|Other Service
|Childcare/Baybsitting|Other Service|International
|International|International|International
|Other Service|Childcare/Baybsitting|Elderly and disabled care
|Other Service|Childcare/Baybsitting|Relief/Emergency Aid
|Elderly and disabled care|Environmental|International
|Helping the Homeless|Relief/Emergency Aid|Childcare/Baybsitting
|Helping the Homeless|Relief/Emergency Aid|Environmental
|Environmental|Relief/Emergency Aid|Relief/Emergency Aid
|Childcare/Baybsitting|Helping the Homeless|Other Service
|Childcare/Baybsitting|Childcare/Baybsitting|Other Service
|Environmental|Childcare/Baybsitting|International
|Elderly and disabled care|International|Environmental
|Other Service|Environmental|Relief/Emergency Aid
|Helping the Homeless|Elderly and disabled care|Childcare/Baybsitting
|Childcare/Baybsitting|International|Helping the Homeless
|Other Service|Helping the Homeless|Elderly and disabled care
|Other Service|Elderly and disabled care|Environmental
|Other Service|Helping the Homeless|Other Service
|International|Other Service|Helping the Homeless
|Childcare/Baybsitting|Helping the Homeless|Elderly and disabled care
|Elderly and disabled care|Childcare/Baybsitting|International
|Other Service|Other Service|International
|Relief/Emergency Aid|Childcare/Baybsitting|International
|Environmental|Environmental|Relief/Emergency Aid
|Elderly and disabled care|International|Elderly and disabled care
|Environmental|Elderly and disabled care|Environmental
|Helping the Homeless|International|International
|Environmental|Other Service|Elderly and disabled care
|Helping the Homeless|International|Helping the Homeless
|Other Service|Other Service|Other Service
|International|Helping the Homeless|International
|Elderly and disabled care|Elderly and disabled care|Elderly and disabled care
|Childcare/Baybsitting|International|International
|Other Service|Childcare/Baybsitting|Relief/Emergency Aid
|Environmental|Relief/Emergency Aid|Other Service
|Elderly and disabled care|Relief/Emergency Aid|Environmental
|Childcare/Baybsitting|Childcare/Baybsitting|Environmental
|Childcare/Baybsitting|Relief/Emergency Aid|Helping the Homeless
|Relief/Emergency Aid|Relief/Emergency Aid|Environmental
|Other Service|Relief/Emergency Aid|Environmental
|Helping the Homeless|Other Service|Relief/Emergency Aid
|Environmental|Environmental|International
|Childcare/Baybsitting|Environmental|Helping the Homeless
|Childcare/Baybsitting|Environmental|International
|Helping the Homeless|Relief/Emergency Aid|Helping the Homeless
|Environmental|Relief/Emergency Aid|Relief/Emergency Aid
|Helping the Homeless|Elderly and disabled care|Helping the Homeless
|Other Service|International|Childcare/Baybsitting
|Helping the Homeless|Relief/Emergency Aid|Helping the Homeless
|International|Childcare/Baybsitting|Relief/Emergency Aid
|Elderly and disabled care|Helping the Homeless|Relief/Emergency Aid
|Elderly and disabled care|Elderly and disabled care|Helping the Homeless
|Relief/Emergency Aid|Helping the Homeless|Other Service
|Elderly and disabled care|Helping the Homeless|Relief/Emergency Aid
|Childcare/Baybsitting|Helping the Homeless|International
|Helping the Homeless|International|Other Service
|Elderly and disabled care|Childcare/Baybsitting|Elderly and disabled care
|Environmental|Environmental|International
|International|International|Childcare/Baybsitting
|Childcare/Baybsitting|Elderly and disabled care|Elderly and disabled care
|International|Childcare/Baybsitting|Elderly and disabled care
|International|Relief/Emergency Aid|International
|International|International|Elderly and disabled care
|Childcare/Baybsitting|Helping the Homeless|Environmental
|Other Service|Elderly and disabled care|Other Service
|Elderly and disabled care|International|International
|Helping the Homeless|Relief/Emergency Aid|Other Service
|Environmental|Helping the Homeless|Elderly and disabled care
|Elderly and disabled care|International|International
|Relief/Emergency Aid|Other Service|Childcare/Baybsitting
|Helping the Homeless|Elderly and disabled care|Elderly and disabled care
|Childcare/Baybsitting|International|Elderly and disabled care
|Environmental|Childcare/Baybsitting|Elderly and disabled care
|International|Environmental|Environmental
|Relief/Emergency Aid|Helping the Homeless|Other Service
|Relief/Emergency Aid|International|Childcare/Baybsitting
|Relief/Emergency Aid|Childcare/Baybsitting|Other Service
|Other Service|Environmental|Elderly and disabled care
|Childcare/Baybsitting|Helping the Homeless|Other Service
|Helping the Homeless|Childcare/Baybsitting|Elderly and disabled care
|Environmental|Other Service|Elderly and disabled care
|Childcare/Baybsitting|Childcare/Baybsitting|Helping the Homeless
|Relief/Emergency Aid|Relief/Emergency Aid|Childcare/Baybsitting
|Environmental|Helping the Homeless|Helping the Homeless
|Elderly and disabled care|Relief/Emergency Aid|Relief/Emergency Aid
|Environmental|Elderly and disabled care|Elderly and disabled care
|Other Service|Helping the Homeless|Helping the Homeless
|Environmental|International|Relief/Emergency Aid
|Environmental|Elderly and disabled care|International
|Childcare/Baybsitting|International|Childcare/Baybsitting
|Elderly and disabled care|Helping the Homeless|Helping the Homeless
|Environmental|Childcare/Baybsitting|Relief/Emergency Aid
|Relief/Emergency Aid|Environmental|Elderly and disabled care
|Environmental|Childcare/Baybsitting|Childcare/Baybsitting
|Helping the Homeless|Elderly and disabled care|Elderly and disabled care
